original_index,stemmed,clean_final
13920,"['dermawan', 'bansos', 'player', 'f', 'p']",dermawan bansos player f p
13921,[],
13922,"['salah', 'puas', 'satu', 'kendala', 'bete']",salah puas satu kendala bete
13923,[],
13924,['nanya'],nanya
13925,[],
13926,"['gila', 'e', 'bener', 'bener', 'sabar', 'new', 'story', 'nyaa']",gila e bener bener sabar new story nyaa
13927,[],
13928,"['fun', 'first', 'getting', 'kinda', 'bored', 'quickly', 'tbh', 'still', 'decent', 'u', 'anything', 'else', 'ig']",fun first getting kinda bored quickly tbh still decent u anything else ig
13929,"['ramah', 'f', 'p', 'kyak', 'kakak', 'pertama', 'mueheheheh']",ramah f p kyak kakak pertama mueheheheh
13930,['slaygirl'],slaygirl
13931,[],
13932,"['event', 'bingung', 'mini', 'reset', 'minggu', 'sabi']",event bingung mini reset minggu sabi
13933,[],
13934,"['rangin', 'ruang', 'update', 'update', 'serasa', 'update', 'region', 'genshin']",rangin ruang update update serasa update region genshin
13935,"['update', 'download', 'data', 'gb', 'sii', 'kecil', 'lhh']",update download data gb sii kecil lhh
13936,[],
13937,[],
13938,['umur'],umur
13939,"['mudah', 'swarm']",mudah swarm
13940,[],
13941,[],
13942,"['let', 'win']",let win
13943,"['one', 'word', 'epic']",one word epic
13944,[],
13945,"['yahhh', 'habis', 'warp', 'jahat', 'sekaliiii']",yahhh habis warp jahat sekaliiii
13946,"['kemarin', 'gacha', 'char', 'cewe', 'kasih', 'rate', 'gacha', 'cowo', 'gacor', 'skrng', 'butuh', 'meta', 'charnya', 'cewe', 'woi', 'bener']",kemarin gacha char cewe kasih rate gacha cowo gacor skrng butuh meta charnya cewe woi bener
13947,"['gameplaynya', 'cema', 'ciamik', 'saran', 'kembang', 'update', 'bengkak', 'memori', 'device']",gameplaynya cema ciamik saran kembang update bengkak memori device
13948,['karakter'],karakter
13949,[],
13950,[],
13951,"['suka', 'mihoyo', 'kuat', 'hsr', 'honkai', 'rd']",suka mihoyo kuat hsr honkai rd
13952,"['semenjak', 'update', 'baru', 'aplikasi', 'force', 'close', 'memori', 'internal', 'lega', 'sinyal', 'lancar']",semenjak update baru aplikasi force close memori internal lega sinyal lancar
13953,"['black', 'swan', 'cakep']",black swan cakep
13954,['umur'],umur
13955,"['favorite', 'kaya', 'belah', 'syukur']",favorite kaya belah syukur
13956,"['update', 'patch', 'map', 'penacony', 'frezee', 'putih', 'wajah', 'character', 'blur', 'atas']",update patch map penacony frezee putih wajah character blur atas
13957,['umur'],umur
13958,['umur'],umur
13959,"['gada', 'kurang']",gada kurang
13960,['bansos'],bansos
13961,['tarik'],tarik
13962,"['genshin', 'could', 'never']",genshin could never
13963,"['hadiah', 'bansosnya']",hadiah bansosnya
13964,"['cocok', 'isi', 'luang', 'dagang']",cocok isi luang dagang
13965,"['ramah', 'dompet']",ramah dompet
13966,[],
13967,"['hsr', 'bansos', 'gede', 'aduh', 'kasi']",hsr bansos gede aduh kasi
13968,[],
13969,['umur'],umur
13970,"['eating', 'today']",eating today
13971,"['reward', 'player', 'gudang']",reward player gudang
13972,"['selamat', 'pagi']",selamat pagi
13973,"['bansosny', 'wangy', 'euy']",bansosny wangy euy
13974,"['pc', 'rilis']",pc rilis
13975,['data'],data
13976,[],
13977,['kreeeeen'],kreeeeen
13978,['bansos'],bansos
13979,['special'],special
13980,"['pelit', 'genshin', 'impact', 'minim', 'hadiah', 'pity', 'merah']",pelit genshin impact minim hadiah pity merah
13981,"['lumayan', 'rekomended', 'nih', 'kelas', 'final', 'fantasy', 'lupa', 'berapa', 'final', 'fantasy', 'ps', 'alur', 'cerita', 'tambah', 'option', 'masuk', 'cit', 'nyesel', 'ngabisin', 'gb', 'setting', 'low', 'grafik']",lumayan rekomended nih kelas final fantasy lupa berapa final fantasy ps alur cerita tambah option masuk cit nyesel ngabisin gb setting low grafik
13982,"['better', 'genshin', 'frfr']",better genshin frfr
13983,[],
13984,['cihuy'],cihuy
13985,"['trailblaze', 'power', 'cari', 'relic', 'boss', 'material', 'dapetnya', 'random', 'stats', 'costnya', 'relic']",trailblaze power cari relic boss material dapetnya random stats costnya relic
13986,"['raja', 'bansos']",raja bansos
13987,"['cerita', 'tarik', 'simpel', 'suka']",cerita tarik simpel suka
13988,"['one', 'ever']",one ever
13989,['goodgame'],goodgame
13990,[],
13991,['sheeesh'],sheeesh
13992,"['fill', 'free', 'time', 'still', 'keep', 'progress']",fill free time still keep progress
13993,"['inget', 'xenosaga', 'final', 'fantasy', 'ps']",inget xenosaga final fantasy ps
13994,[],
13995,"['anti', 'kikir']",anti kikir
13996,['dermawan'],dermawan
13997,[],
13998,[],
13999,[],
14000,"['overall', 'lumayan', 'betah', 'belah', 'bosan', 'story', 'karakter', 'aman', 'maksud', 'story', 'waifu', 'aman', 'bansos']",overall lumayan betah belah bosan story karakter aman maksud story waifu aman bansos
14001,"['seruu', 'asli']",seruu asli
