original_index,cleaned,normalized
136,gamenya bagus ya walapun ada inflation hp tapi bansosnya rek bukan main lagi pula yang ngeluh inflation hp kebanyakan skill issues walaupun gw jg semenjak rilisnya char baru castorice jdi ga skill issues lgi rek terimakasih game baik,game nya bagus ya walapun ada inflation hp tapi bansosnya rek bukan main lagi pula yang ngeluh inflation hp kebanyakan skill issues walaupun saya juga semenjak rilisnya char baru castorice jadi tidak skill issues lagi rek terimakasih game baik
137,sistem ga jelas gw kalah rate off pdahal gapernah gacha ga cocok buat aniversary ke ini surprisenya kirain bakal membahagiakan gajelas,sistem tidak jelas saya kalah rate off pdahal gapernah gacha tidak cocok buat aniversary ke ini surprisenya kirain bakal membahagiakan gajelas
138,sejauh ini gak ada kendala di yang menjadi masalah cuman moc doang yang makin susah semoga efek buff nya bisa lebih bagus lagi,sejauh ini tidak ada kendala di yang menjadi masalah cuman moc doang yang makin susah semoga efek buff nya bisa lebih bagus lagi
139,minus buat cerita main quest di amphoreus terlalu banyak informasi gk penting untuk cerita ada yg meninggal aja gw gk simpati sama karakter yang mati karena terlalu lama,minus buat cerita main quest di amphoreus terlalu banyak informasi tidak penting untuk cerita ada yang meninggal saja saya tidak simpati sama karakter yang mati karena terlalu lama
140,optimasi relic scam,optimasi relic scam
141,just absolute cinema,just absolute cinema
142,cerita game ny bertele bgt nge tap smpai bkin ngntuk,cerita game nya bertele sekali nge tap smpai bkin ngntuk
143,game bagus,game bagus
144,game baikkkkk,game baikkkkk
145,mantap gamenya panjang umur game baik,mantap game nya panjang umur game baik
146,game baik bagus cuman char cowoknya diperbanyak,game baik bagus cuman char cowoknya diperbanyak
147,gua bingung nih pas masuk di suruh download gb itu harus ter download semua soalnya gak bisa masuk kalo gak di download kalau harus download semua mendingan gua uninstall aja,gua bingung nih ketika masuk di suruh download gb itu harus ter download semua soalnya tidak bisa masuk kalau tidak di download kalau harus download semua mendingan gua uninstall saja
148,ko gua di kasih castorice sih padahal maunya fu xuan,ko gua di kasih castorice sih padahal maunya fu xuan
149,game yang menyenangkan bisa bermain bersama dengan teman dan banyak event event yang menarik dan seru,game yang menyenangkan bisa bermain bersama dengan teman dan banyak event event yang menarik dan seru
150,mantep dah,mantap sudah
151,kok bisa ya orang orang dapet gacha bagus wangi tapi ga merata baik gacha relic gacha character ama light cone sekalinya bau sampe tujuh turunan ayolah kecewa banget gua hoyoverse game yang udah gue mainin dari gungirlz hi dll tapi dari semua game gada yang bener ke gue ampas semua belom lagi sistem power creep yang makin neken f p player antara top up atau pensi plis lah dengerin semua game hoyo lain gapapa jelek rate gacha nya asal jangan hsr bingung jg gua maininnya ini,kok bisa ya orang orang dapat gacha bagus wangi tapi tidak merata baik gacha relic gacha character ama light cone sekalinya bau sampe tujuh turunan ayolah kecewa sekali gua hoyoverse game yang sudah saya mainin dari gungirlz hi dll tapi dari semua game gada yang bener ke saya ampas semua belom lagi sistem power creep yang makin neken f p player antara top up atau pensi please lah dengerin semua game hoyo lain gapapa jelek rate gacha nya asal jangan hsr bingung juga gua maininnya ini
152,tidur dulu klo bangun nanti tak kasih b,tidur dulu kalau bangun nanti tak kasih b
153,overall gamenya bagus masih bisa maen di ram walau full rata kiri sih tapi ini dah bagus cocok lah dimainkan dimana aja,overall game nya bagus masih bisa maen di ram walau full rata kiri sih tapi ini sudah bagus cocok lah dimainkan dimana saja
154,kasi tombol skip woi,kasih tombol skip woi
155,tolong tambahkan fitur tombol skip dalam game,tolong tambahkan fitur tombol skip dalam game
156,story bagus dibanding game rpg lain walau sistem nya turn base tapi tetep seru ga kikir kaya sebelah,story bagus dibanding game rpg lain walau sistem nya turn base tapi tetep seru tidak kikir kaya sebelah
157,bug yang sangat parah hp boss tidak berkurang pada saat fase ke,bug yang sangat parah hp boss tidak berkurang pada saat fase ke
158,no comment game gila powercreep,no comment game gila powercreep
159,ga ada fitur skip,tidak ada fitur skip
160,banyakin bansosnya hoyo,perbanyak bansosnya hoyo
161,farming relic dapet jelek mulu gak ada tombol skip bangke,farming relic dapat jelek mulu tidak ada tombol skip bangke
162,gamenya bagus dari segi karakter maupun gameplay tapi untuk pengisian trailblazer power dipercepat lagi,game nya bagus dari segi karakter maupun game play tapi untuk pengisian trailblazer power dipercepat lagi
163,if i don t get acheron i ll give you star,if i don t get acheron i ll give you star
164,apa gw yang sial apa emang sistem hoyo gini udah patch gw rate off hard pity lagi,apa saya yang sial apa memang sistem hoyo gini sudah patch saya rate off hard pity lagi
165,kikir ga kek developer guardian tales,kikir tidak seperti developer guardian tales
